0 1.53209 -1.28558 0.666063 -0.785575 0 -1.42836
0.05 1.53164 -1.28611 0.665417 -0.786452 0.00114439 -1.42951
0.1 1.53029 -1.28771 0.663478 -0.789083 0.00457652 -1.43294
0.15 1.52805 -1.29037 0.660245 -0.793469 0.0102934 -1.43866
0.2 1.52491 -1.29408 0.655716 -0.799613 0.0182901 -1.44665
0.25 1.52089 -1.29881 0.649891 -0.807519 0.0285603 -1.45692
0.3 1.51598 -1.30453 0.642768 -0.817193 0.0410962 -1.46946
0.35 1.5102 -1.31122 0.634347 -0.828643 0.0558896 -1.48425
0.4 1.50356 -1.31883 0.624629 -0.841877 0.072932 -1.50129
0.45 1.49606 -1.32733 0.613617 -0.856909 0.0922152 -1.52058
0.5 1.48772 -1.33667 0.601317 -0.873754 0.113733 -1.54209
0.55 1.47855 -1.34681 0.587738 -0.892431 0.13748 -1.56584
0.6 1.46856 -1.35769 0.572895 -0.912963 0.163454 -1.59181
0.65 1.45777 -1.36927 0.556807 -0.935377 0.191658 -1.62001
0.7 1.44619 -1.38149 0.5395 -0.959704 0.222098 -1.65045
0.75 1.43384 -1.39431 0.521007 -0.985979 0.254783 -1.68313
0.8 1.42072 -1.40768 0.501368 -1.01424 0.289732 -1.71808
0.85 1.40684 -1.42155 0.480631 -1.04453 0.326966 -1.75531
0.9 1.39219 -1.4359 0.458851 -1.0769 0.366512 -1.79485
0.95 1.37677 -1.45069 0.436092 -1.11139 0.408402 -1.83674
1 1.36057 -1.46589 0.412426 -1.14806 0.452675 -1.881
1.05 1.34356 -1.4815 0.38793 -1.18694 0.499369 -1.92769
1.1 1.32572 -1.49749 0.362687 -1.2281 0.548529 -1.97684
1.15 1.30699 -1.51386 0.336786 -1.27157 0.600198 -2.0285
1.2 1.28732 -1.53062 0.310318 -1.3174 0.65442 -2.08271
1.25 1.26665 -1.54777 0.28338 -1.36563 0.711237 -2.13951
1.3 1.2449 -1.56532 0.256067 -1.41629 0.770687 -2.19895
1.35 1.22197 -1.58328 0.228479 -1.46941 0.832806 -2.26105
1.4 1.19777 -1.60167 0.200714 -1.52501 0.897621 -2.32584
1.45 1.17217 -1.6205 0.172873 -1.5831 0.965155 -2.39335
1.5 1.14505 -1.63978 0.145056 -1.6437 1.03542 -2.46359
1.55 1.11625 -1.65952 0.117366 -1.7068 1.10842 -2.53656
1.6 1.0856 -1.67972 0.0899074 -1.77238 1.18415 -2.61225
1.65 1.05293 -1.70039 0.0627878 -1.84044 1.26259 -2.69064
1.7 1.01802 -1.72152 0.0361202 -1.91093 1.3437 -2.7717
1.75 0.980619 -1.7431 0.0100245 -1.98382 1.42743 -2.85537
1.8 0.940455 -1.76509 -0.015369 -2.05903 1.5137 -2.94157
