0 1.53209 -1.28558 0.666063 -0.785575 0 -1.42836
0.05 1.53164 -1.28611 0.665417 -0.786452 0.00114427 -1.42951
0.1 1.53029 -1.28771 0.663478 -0.789083 0.00457607 -1.43294
0.15 1.52805 -1.29037 0.660245 -0.79347 0.0102924 -1.43866
0.2 1.52492 -1.29407 0.655717 -0.799616 0.0182884 -1.44665
0.25 1.5209 -1.29879 0.649892 -0.807524 0.0285576 -1.45692
0.3 1.516 -1.30451 0.64277 -0.817201 0.0410926 -1.46946
0.35 1.51023 -1.31119 0.63435 -0.828653 0.0558849 -1.48425
0.4 1.50359 -1.3188 0.624633 -0.841891 0.0729262 -1.50129
0.45 1.4961 -1.32729 0.613623 -0.856928 0.0922086 -1.52057
0.5 1.48777 -1.33662 0.601325 -0.873778 0.113725 -1.54209
0.55 1.47861 -1.34675 0.587749 -0.892461 0.137472 -1.56583
0.6 1.46863 -1.35762 0.57291 -0.913 0.163446 -1.59181
0.65 1.45785 -1.36918 0.556826 -0.935421 0.19165 -1.62001
0.7 1.44629 -1.38139 0.539525 -0.959757 0.22209 -1.65045
0.75 1.43395 -1.3942 0.521038 -0.986041 0.254777 -1.68314
0.8 1.42084 -1.40756 0.501406 -1.01431 0.289727 -1.71809
0.85 1.40697 -1.42142 0.480677 -1.04462 0.326963 -1.75533
0.9 1.39233 -1.43576 0.458907 -1.07699 0.366511 -1.79487
0.95 1.37693 -1.45054 0.436159 -1.1115 0.408404 -1.83677
1 1.36074 -1.46574 0.412504 -1.14817 0.452679 -1.88104
1.05 1.34374 -1.48133 0.38802 -1.18707 0.499376 -1.92774
1.1 1.32591 -1.49732 0.36279 -1.22824 0.548538 -1.9769
1.15 1.30719 -1.51369 0.336903 -1.27172 0.600208 -2.02857
1.2 1.28753 -1.53045 0.31045 -1.31757 0.654429 -2.08279
1.25 1.26686 -1.5476 0.283526 -1.36581 0.711243 -2.13961
1.3 1.24511 -1.56515 0.256228 -1.41648 0.770689 -2.19905
1.35 1.22219 -1.58311 0.228654 -1.46961 0.832799 -2.26116
1.4 1.19799 -1.60151 0.200903 -1.52521 0.897603 -2.32597
1.45 1.17239 -1.62034 0.173076 -1.58331 0.965121 -2.39348
1.5 1.14526 -1.63963 0.145272 -1.64391 1.03536 -2.46373
1.55 1.11646 -1.65937 0.117594 -1.70701 1.10834 -2.5367
1.6 1.08581 -1.67959 0.0901461 -1.7726 1.18403 -2.6124
1.65 1.05313 -1.70027 0.0630356 -1.84066 1.26243 -2.69079
1.7 1.01821 -1.72141 0.036375 -1.91115 1.34349 -2.77185
1.75 0.980801 -1.74299 0.0102842 -1.98403 1.42716 -2.85552
1.8 0.940627 -1.765 -0.0151072 -2.05923 1.51337 -2.94173
1.85 0.89736 -1.78739 -0.0396554 -2.13667 1.602 -3.03037
1.9 0.850613 -1.8101 -0.0631977 -2.21624 1.69292 -3.12129
1.95 0.799921 -1.83306 -0.0855451 -2.29777 1.78594 -3.2143
2 0.744712 -1.85618 -0.106472 -2.38105 1.88078 -3.30914
2.05 0.684268 -1.8793 -0.125702 -2.46577 1.97706 -3.40543
2.1 0.61767 -1.90223 -0.142884 -2.55151 2.07426 -3.50262
2.15 0.543705 -1.92468 -0.15756 -2.63758 2.17156 -3.59992
2.2 0.460729 -1.94621 -0.169109 -2.72294 2.26768 -3.69604
2.25 0.366469 -1.96614 -0.176661 -2.80579 2.36052 -3.78886
2.3 0.257804 -1.98331 -0.178987 -2.88288 2.44625 -3.87454
2.35 0.130982 -1.99571 -0.174485 -2.94791 2.51764 -3.94576
2.4 -0.0155159 -1.99994 -0.161996 -2.98915 2.56116 -3.98912
2.45 -0.172272 -1.99257 -0.143821 -2.99216 2.56011 -3.98845
2.5 -0.319127 -1.97438 -0.126548 -2.95566 2.51409 -3.94284
2.55 -0.445595 -1.94973 -0.114397 -2.89329 2.43918 -3.86816
2.6 -0.552965 -1.92204 -0.107624 -2.8174 2.34937 -3.77842
2.65 -0.645179 -1.89308 -0.105301 -2.73482 2.2523 -3.68136
2.7 -0.725551 -1.86375 -0.106523 -2.64912 2.15193 -3.581
2.75 -0.796484 -1.83456 -0.110593 -2.56227 2.05048 -3.47955
2.8 -0.859704 -1.8058 -0.116995 -2.47541 1.94924 -3.37831
2.85 -0.916478 -1.77766 -0.125339 -2.3893 1.84905 -3.27812
2.9 -0.967755 -1.75027 -0.135325 -2.3044 1.75046 -3.17954
2.95 -1.01427 -1.72373 -0.146716 -2.22107 1.65386 -3.08293
3 -1.05662 -1.69811 -0.159319 -2.13953 1.55951 -2.98858
3.05 -1.09525 -1.67345 -0.172975 -2.05998 1.46763 -2.8967
3.1 -1.13057 -1.64979 -0.18755 -1.98254 1.37836 -2.80743
3.15 -1.16289 -1.62717 -0.202927 -1.90731 1.29182 -2.7209
3.2 -1.19248 -1.60561 -0.219002 -1.83438 1.20811 -2.63718
3.25 -1.21959 -1.58512 -0.235685 -1.7638 1.12729 -2.55636
3.3 -1.24441 -1.56571 -0.252891 -1.69563 1.04941 -2.47849
3.35 -1.26713 -1.54738 -0.270542 -1.6299 0.974521 -2.40359
3.4 -1.2879 -1.53014 -0.288563 -1.56664 0.90264 -2.33171
3.45 -1.30685 -1.51398 -0.306884 -1.50587 0.833789 -2.26286
3.5 -1.32412 -1.4989 -0.325436 -1.4476 0.767979 -2.19705
3.55 -1.33981 -1.48489 -0.344151 -1.39184 0.70521 -2.13428
3.6 -1.35403 -1.47194 -0.36296 -1.33858 0.64548 -2.07455
